priority,overall_status,overall_risk_score,issue_category_final,recommended_check,time_start,time_end,device_name,logical_name,pn,side,och,och_group,center_frequency,ber_status,ber_risk_score,ber_mean,ber_p95,ber_max,ber_last,frequency_status,frequency_risk_score,issue_category,device_status,device_risk_score,power_device_status,edfa_device_status,channel_key,record_count,ber_median,ber_min,ber_critical_count,ber_warning_count,power_critical_count,power_warning_count
P3,Normal,18.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T4,/1/2/L1,ot1,Z,4.0,2.0,191700000.0,Normal,6.0,2.278183139534884e-05,3.22e-05,3.86e-05,1.48e-05,Normal,18.0,No abnormal behavior detected,Unknown,0.0,,,T4|/1/2/L1|4.0|2.0|191700000.0|Z|ot1,688,2.83e-05,1.32e-05,0,0,0,0
P3,Normal,16.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T3,/1/2/L1,ot1,A,6.0,2.0,191500000.0,Normal,16.0,0.0004167924418604,0.0009002999999999,0.00096,1.39e-05,Normal,16.0,No abnormal behavior detected,Unknown,0.0,,,T3|/1/2/L1|6.0|2.0|191500000.0|A|ot1,688,0.0006785,1.12e-05,0,0,0,0
P3,Normal,16.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T4,/1/1/L1,ot1,Z,6.0,2.0,191500000.0,Normal,4.0,2.132761627906977e-05,2.81e-05,3.3e-05,1.56e-05,Normal,16.0,No abnormal behavior detected,Unknown,0.0,,,T4|/1/1/L1|6.0|2.0|191500000.0|Z|ot1,688,2.38e-05,1.34e-05,0,0,0,0
P3,Normal,14.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T3,/1/6/L1,ot1,A,5.0,2.0,191900000.0,Normal,14.0,0.0002931354651162,0.0006182999999999,0.000655,9.71e-06,Normal,14.0,No abnormal behavior detected,Unknown,0.0,,,T3|/1/6/L1|5.0|2.0|191900000.0|A|ot1,688,0.000486,8.72e-06,0,0,0,0
P3,Normal,14.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T4,/1/3/L1,ot1,Z,5.0,2.0,191900000.0,Normal,2.0,1.5282427325581398e-05,2.11e-05,2.66e-05,1.12e-05,Normal,14.0,No abnormal behavior detected,Unknown,0.0,,,T4|/1/3/L1|5.0|2.0|191900000.0|Z|ot1,688,1.7650000000000002e-05,8.74e-06,0,0,0,0
P2,Warning,98.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T8,/1/3/L2,ot2,A,17.0,3.0,192000000.0,Normal,56.0,0.0018766871165644,0.0022689999999999,0.00245,0.0023,Warning,98.0,BER warning only,Unknown,0.0,,,T8|/1/3/L2|17.0|3.0|192000000.0|A|ot2,163,0.00184,0.00154,0,1,0,0
P2,Warning,98.0,BER warning correlated with frequency-level abnormality,P2. Monitor BER and frequency-level OCH power. Investigate early before Post-FEC/service impact.,2000-01-08 13:00:00,2000-01-15 07:00:00,T13,/1/3/L1,ot2,Z,17.0,3.0,192000000.0,Warning,98.0,0.0029755828220858,0.004347,0.0048,0.00213,Warning,98.0,BER warning only,Unknown,0.0,,,T13|/1/3/L1|17.0|3.0|192000000.0|Z|ot2,163,0.00271,0.00213,0,1,0,0
P2,Warning,96.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T16,/1/3/L2,ot2,Z,20.0,4.0,194400000.0,Normal,78.0,0.0021477914110429,0.00268,0.00391,0.00206,Warning,96.0,BER warning only,Unknown,0.0,,,T16|/1/3/L2|20.0|4.0|194400000.0|Z|ot2,163,0.00211,0.00151,0,1,0,0
P2,Warning,96.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T11,/1/3/L2,ot2,A,20.0,4.0,194400000.0,Normal,68.0,0.002002208588957,0.002499,0.00288,0.00173,Warning,96.0,BER warning only,Unknown,0.0,,,T11|/1/3/L2|20.0|4.0|194400000.0|A|ot2,163,0.00196,0.00149,0,1,0,0
P2,Warning,96.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T5,/1/4/L2,ot2,A,9.0,3.0,194400000.0,Normal,66.0,0.0019695705521472,0.00249,0.00269,0.00161,Warning,96.0,BER warning only,Unknown,0.0,,,T5|/1/4/L2|9.0|3.0|194400000.0|A|ot2,163,0.00188,0.00151,0,1,0,0
P2,Warning,96.0,BER warning correlated with frequency-level abnormality,P2. Monitor BER and frequency-level OCH power. Investigate early before Post-FEC/service impact.,2000-01-08 13:00:00,2000-01-15 07:00:00,T11,/1/3/L1,ot2,Z,9.0,3.0,194400000.0,Warning,96.0,0.0026295705521472,0.004042,0.00461,0.00249,Warning,96.0,BER warning only,Unknown,0.0,,,T11|/1/3/L1|9.0|3.0|194400000.0|Z|ot2,163,0.00254,0.00166,0,1,0,0
P2,Warning,94.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T16,/1/1/L1,ot2,Z,25.0,4.0,193000000.0,Normal,89.0,0.0024057055214723,0.003479,0.00452,0.00258,Warning,94.0,BER warning only,Unknown,0.0,,,T16|/1/1/L1|25.0|4.0|193000000.0|Z|ot2,163,0.00231,0.00175,0,1,0,0
P2,Warning,94.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T10,/1/1/L1,ot2,Z,7.0,3.0,193000000.0,Normal,70.0,0.0019403680981595,0.00257,0.00274,0.00211,Warning,94.0,BER warning only,Unknown,0.0,,,T10|/1/1/L1|7.0|3.0|193000000.0|Z|ot2,163,0.00183,0.00155,0,1,0,0
P2,Warning,94.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T5,/1/1/L2,ot2,A,7.0,3.0,193000000.0,Normal,24.0,0.0013335582822085,0.00153,0.00163,0.00127,Warning,94.0,BER warning only,Unknown,0.0,,,T5|/1/1/L2|7.0|3.0|193000000.0|A|ot2,163,0.00132,0.00118,0,1,0,0
P2,Warning,94.0,BER warning correlated with frequency-level abnormality,P2. Monitor BER and frequency-level OCH power. Investigate early before Post-FEC/service impact.,2000-01-08 13:00:00,2000-01-15 07:00:00,T10,/1/1/L2,ot2,A,25.0,4.0,193000000.0,Warning,94.0,0.0024461349693251,0.003725,0.00468,0.00185,Warning,94.0,BER warning only,Unknown,0.0,,,T10|/1/1/L2|25.0|4.0|193000000.0|A|ot2,163,0.00228,0.00147,0,1,0,0
P2,Warning,92.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T14,/1/1/L1,ot2,Z,15.0,3.0,192500000.0,Normal,60.0,0.0021830061349693,0.002458,0.00276,0.0023,Warning,92.0,BER warning only,Unknown,0.0,,,T14|/1/1/L1|15.0|3.0|192500000.0|Z|ot2,163,0.0022,0.00175,0,1,0,0
P2,Warning,92.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T14,/1/1/L2,ot2,A,24.0,4.0,192500000.0,Normal,48.0,0.0016578527607361,0.002025,0.00252,0.00158,Warning,92.0,BER warning only,Unknown,0.0,,,T14|/1/1/L2|24.0|4.0|192500000.0|A|ot2,163,0.00163,0.00133,0,1,0,0
P2,Warning,92.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T9,/1/1/L1,ot2,A,15.0,3.0,192500000.0,Normal,45.0,0.0016965644171779,0.001979,0.00212,0.00159,Warning,92.0,BER warning only,Unknown,0.0,,,T9|/1/1/L1|15.0|3.0|192500000.0|A|ot2,163,0.00164,0.00152,0,1,0,0
P2,Warning,92.0,BER warning correlated with frequency-level abnormality,P2. Monitor BER and frequency-level OCH power. Investigate early before Post-FEC/service impact.,2000-01-08 13:00:00,2000-01-15 07:00:00,T17,/1/2/L1,ot2,Z,24.0,4.0,192500000.0,Warning,92.0,0.002703680981595,0.003518,0.00418,0.00213,Warning,92.0,BER warning only,Unknown,0.0,,,T17|/1/2/L1|24.0|4.0|192500000.0|Z|ot2,163,0.00259,0.00203,0,1,0,0
